94 5
{'Survive': 0, 'Schedule': 0, 'Execution': 0, 'Endtime': 16, 'Invalid': 80, 'Global Episode': 0, 'Reward': -20.0}
Checkpoint saved to ckpt/sim201722432155_0.pth
{'Survive': 2, 'Schedule': 29, 'Execution': 37, 'Endtime': 21, 'Invalid': 50, 'Global Episode': 1000, 'Reward': 31.025000000000002}
{'Survive': 0, 'Schedule': 34, 'Execution': 46, 'Endtime': 21, 'Invalid': 40, 'Global Episode': 2000, 'Reward': 44.17916666666667}
{'Survive': 1, 'Schedule': 28, 'Execution': 38, 'Endtime': 21, 'Invalid': 51, 'Global Episode': 3000, 'Reward': 31.949999999999996}
{'Survive': 1, 'Schedule': 28, 'Execution': 38, 'Endtime': 21, 'Invalid': 51, 'Global Episode': 4000, 'Reward': 31.949999999999996}
{'Survive': 1, 'Schedule': 22, 'Execution': 29, 'Endtime': 16, 'Invalid': 40, 'Global Episode': 5000, 'Reward': 23.724999999999998}
{'Survive': 1, 'Schedule': 28, 'Execution': 40, 'Endtime': 21, 'Invalid': 50, 'Global Episode': 6000, 'Reward': 34.099999999999994}
{'Survive': 2, 'Schedule': 25, 'Execution': 35, 'Endtime': 21, 'Invalid': 54, 'Global Episode': 7000, 'Reward': 27.629166666666666}
{'Survive': 1, 'Schedule': 28, 'Execution': 41, 'Endtime': 21, 'Invalid': 44, 'Global Episode': 8000, 'Reward': 36.64583333333333}
{'Survive': 1, 'Schedule': 28, 'Execution': 41, 'Endtime': 21, 'Invalid': 44, 'Global Episode': 9000, 'Reward': 36.64583333333333}
{'Survive': 1, 'Schedule': 28, 'Execution': 38, 'Endtime': 21, 'Invalid': 51, 'Global Episode': 10000, 'Reward': 31.949999999999996}
{'Survive': 0, 'Schedule': 32, 'Execution': 43, 'Endtime': 21, 'Invalid': 47, 'Global Episode': 11000, 'Reward': 38.75416666666666}
{'Survive': 0, 'Schedule': 29, 'Execution': 41, 'Endtime': 21, 'Invalid': 49, 'Global Episode': 12000, 'Reward': 35.45833333333333}
{'Survive': 0, 'Schedule': 32, 'Execution': 43, 'Endtime': 21, 'Invalid': 47, 'Global Episode': 13000, 'Reward': 38.75416666666666}
{'Survive': 0, 'Schedule': 29, 'Execution': 41, 'Endtime': 21, 'Invalid': 49, 'Global Episode': 14000, 'Reward': 35.45833333333333}
{'Survive': 0, 'Schedule': 36, 'Execution': 45, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 15000, 'Reward': 46.35}
{'Survive': 1, 'Schedule': 28, 'Execution': 39, 'Endtime': 21, 'Invalid': 50, 'Global Episode': 16000, 'Reward': 33.199999999999996}
{'Survive': 1, 'Schedule': 30, 'Execution': 42, 'Endtime': 21, 'Invalid': 50, 'Global Episode': 17000, 'Reward': 36.583333333333336}
{'Survive': 1, 'Schedule': 30, 'Execution': 42, 'Endtime': 21, 'Invalid': 50, 'Global Episode': 18000, 'Reward': 36.583333333333336}
{'Survive': 0, 'Schedule': 31, 'Execution': 43, 'Endtime': 21, 'Invalid': 48, 'Global Episode': 19000, 'Reward': 38.27083333333333}
{'Survive': 0, 'Schedule': 31, 'Execution': 43, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 20000, 'Reward': 42.67916666666667}
{'Survive': 0, 'Schedule': 31, 'Execution': 43, 'Endtime': 21, 'Invalid': 48, 'Global Episode': 21000, 'Reward': 38.27083333333333}
